//プレイヤーID 0 はリナ（左） 1はアキラ（右） 2はナレーション（中央）
//画像差し替え sprite,プレイヤーID,立ち絵の名前
//キャラクターを表示 visible,プレイヤーID,0 or 1
//トーク表示 talk,プレイヤーID,会話内容
//音を鳴らす sound,音の名前

[init]
fontspeed,2
sprite,0,rina_normal
sprite,1,akira_1
visible,0,0
visible,1,0
visible,2,0

[main]
visible,2,0
talk,2,第3戦——リナの勝利。

talk,2,レンズもない。通信もない。助けも来なかった。

talk,2,それでも——リナは、自分の力だけで勝った。

talk,2,成金の男は信じられないという顔で席を立ち、何も言わずにVIPルームを出ていった。

visible,0,1
sprite,0,rina_smile
talk,0,「……勝った。私、一人で勝っちゃった」

talk,2,だが、隣の席には誰もいない。

visible,1,1
sprite,1,akira_1
talk,2,狐のお面だけが、静かにそこに置かれていた。

sprite,0,rina_normal
talk,0,「……アキラ」

talk,0,「あんたに見せたかったな、今の私」

talk,2,カジノ併設のバー——リナはカウンター席に一人で座り、グラスを傾けていた。

talk,2,全財産は取り戻した。文句なしの勝利だ。

talk,2,——なのに、隣が空いている。

sprite,0,rina_sad
talk,0,「……結局、あいつはどうなったんだろ」

talk,2,噂は、すぐに耳に入ってきた。

talk,2,オーナーの娘がシステムに不正侵入した件で、莫大なサーバー費用と賠償金を抱えたこと。

talk,2,父親に頭が上がらなくなり——取引先との政略結婚が決まったこと。

sprite,0,rina_surprise
talk,0,「……は？　結婚？」

talk,2,リナは知らない。アキラがあの後、裏口のセキュリティを突破したことを。

talk,2,カジノの地下まで潜り込んで、助けを届けようとしていたことを。

talk,2,その代償が——今のアキラに降りかかっていることを。

sprite,0,rina_sad
talk,0,「……あんたは全部賭けてくれてたんだね。私のために」

talk,0,「なのに私は……信じなかった」

talk,2,グラスの中の合成酒が、ネオンの光を歪めて映している。

talk,2,勝ったはずなのに、何かを取りこぼした気がした。

talk,0,「……ごめん、アキラ」

talk,2,返事は、もう聞こえない。
[end]
