//プレイヤーID 0 はリナ（左） 1はアキラ（右） 2はナレーション（中央）
//画像差し替え sprite,プレイヤーID,立ち絵の名前
//キャラクターを表示 visible,プレイヤーID,0 or 1
//トーク表示 talk,プレイヤーID,会話内容
//音を鳴らす sound,音の名前

[init]
fontspeed,2
sprite,0,rina_normal
sprite,1,akira_0_normal
visible,0,0
visible,1,0
visible,2,0

[main]
visible,2,0
talk,2,電脳カジノ『ネオンアビス』——このスラム最大の賭場。
talk,2,リナから全財産を巻き上げた成金の男は、今日も余裕の笑みを浮かべてVIP席に座っていた。

talk,2,しかし、リナの視界は昨日とは違う。

visible,0,1
talk,2,アキラから渡されたスペクトル・レンズが、カードの裏面に刻印された不可視のナノドットを、鮮やかなARで浮かび上がらせていた。

sprite,0,rina_surprise
talk,0,「……見える、全部丸見えじゃない！」

visible,1,1
talk,2,隣に立つのは、狐のお面で顔を隠した少女——アキラ

sprite,1,akira_0_serious
talk,2,アキラがPCを叩き、信号を同期させる。

talk,1,「落ち着きなさい。データが見えるだけじゃ、まだ何も始まってないわ」

sprite,0,rina_normal
talk,0,「え？　でもこれ、カードの情報が全部わかるってことでしょ？」

talk,1,「バカ。そんな簡単な話じゃないわ。 情報が見えることと、意味を読み取ることは別よ。パターンを繋いで判断するのは、あくまでもあんたの頭——人間の仕事」

talk,0,「……つまり、私の洞察力次第ってこと？」

talk,1,「ええ。それと——時には運もね。データだけじゃ超えられない壁は必ずある」

sprite,1,akira_0_normal
talk,2,アキラはコンソールから手を離し、一歩引いた。

talk,1,「いい？　ゲームが始まったら、私はもう何も手を貸せない。通信も切る」

talk,1,「ここから先は、あんた一人の勝負よ——任せたわ」

talk,0,「……上等。やってやるわよ」

talk,2,リナは拳を握り、カードテーブルへと歩き出した。
[end]
